Date,Open,High,Low,Close
01-02-2024,402.84,0,0,399.62
01-03-2024,399.62,0,0,398.03
01-04-2024,398.03,0,0,397.87
01-05-2024,397.87,0,0,398.17
01-08-2024,398.17,0,0,405.08
01-09-2024,405.08,0,0,408.89
01-10-2024,408.89,0,0,411.3
01-11-2024,411.3,0,0,410.86
01-12-2024,410.86,0,0,410.03
01-16-2024,410.03,0,0,411.23
01-17-2024,411.23,0,0,412.26
01-18-2024,412.26,0,0,414.71
01-19-2024,414.71,0,0,420.63
01-22-2024,420.63,0,0,418.96
01-23-2024,418.96,0,0,420.0
01-24-2024,420.0,0,0,418.4
01-25-2024,418.4,0,0,416.4
01-26-2024,416.4,0,0,415.77
01-29-2024,415.77,0,0,419.62
01-30-2024,419.62,0,0,417.83
01-31-2024,417.83,0,0,413.98
02-01-2024,413.98,0,0,417.05
02-02-2024,417.05,0,0,422.22
02-05-2024,422.22,0,0,421.6
02-06-2024,421.6,0,0,419.59
02-07-2024,419.59,0,0,421.16
02-08-2024,421.16,0,0,421.83
02-09-2024,421.83,0,0,424.92
02-12-2024,424.92,0,0,423.33
02-13-2024,423.33,0,0,424.59
02-14-2024,424.59,0,0,426.54
02-15-2024,426.54,0,0,427.13
02-16-2024,427.13,0,0,422.84
02-20-2024,422.84,0,0,421.62
02-21-2024,421.62,0,0,422.67
02-22-2024,422.67,0,0,426.22
02-23-2024,426.22,0,0,423.37
02-26-2024,423.37,0,0,422.33
02-27-2024,422.33,0,0,422.26
02-28-2024,422.26,0,0,422.1
02-29-2024,422.1,0,0,422.86
03-01-2024,422.86,0,0,428.53
03-04-2024,428.53,0,0,426.95
03-05-2024,426.95,0,0,422.1
03-06-2024,422.1,0,0,420.58
03-07-2024,420.58,0,0,423.59
03-08-2024,423.59,0,0,416.85
03-11-2024,416.85,0,0,416.73
03-12-2024,416.73,0,0,420.63
03-13-2024,420.63,0,0,418.25
03-14-2024,418.25,0,0,415.91
03-15-2024,415.91,0,0,413.78
03-18-2024,413.78,0,0,412.54
03-19-2024,412.54,0,0,415.64
03-20-2024,415.64,0,0,419.61
03-21-2024,419.61,0,0,416.62
03-22-2024,416.62,0,0,417.64
03-25-2024,417.64,0,0,418.84
03-26-2024,418.84,0,0,415.88
03-27-2024,415.88,0,0,414.28
03-28-2024,414.28,0,0,413.51
04-01-2024,413.51,0,0,413.49
04-02-2024,413.49,0,0,414.51
04-03-2024,414.51,0,0,417.63
04-04-2024,417.63,0,0,406.71
04-05-2024,406.71,0,0,410.38
04-08-2024,410.38,0,0,409.57
04-09-2024,409.57,0,0,408.84
04-10-2024,408.84,0,0,410.2
04-11-2024,410.2,0,0,415.28
04-12-2024,415.28,0,0,412.47
04-15-2024,412.47,0,0,401.54
04-16-2024,401.54,0,0,401.74
04-17-2024,401.74,0,0,394.52
04-18-2024,394.52,0,0,391.46
04-19-2024,391.46,0,0,383.94
04-22-2024,383.94,0,0,385.44
04-23-2024,385.44,0,0,389.71
04-24-2024,389.71,0,0,388.03
04-25-2024,388.03,0,0,393.21
04-26-2024,393.21,0,0,396.57
04-29-2024,396.57,0,0,396.19
04-30-2024,396.19,0,0,389.67
05-01-2024,389.67,0,0,388.05
05-02-2024,388.05,0,0,389.64
05-03-2024,389.64,0,0,390.67
05-06-2024,390.67,0,0,393.6
05-07-2024,393.6,0,0,393.22
05-08-2024,393.22,0,0,395.6
05-09-2024,395.6,0,0,396.29
05-10-2024,396.29,0,0,395.81
05-13-2024,395.81,0,0,394.91
05-14-2024,394.91,0,0,398.17
05-15-2024,398.17,0,0,402.61
05-16-2024,402.61,0,0,401.88
05-17-2024,401.88,0,0,401.53
05-20-2024,401.53,0,0,404.44
05-21-2024,404.44,0,0,407.18
05-22-2024,407.18,0,0,406.83
05-23-2024,406.83,0,0,399.98
05-24-2024,399.98,0,0,402.62
05-28-2024,402.62,0,0,403.12
05-29-2024,403.12,0,0,404.07
05-30-2024,404.07,0,0,400.14
05-31-2024,400.14,0,0,399.08
06-03-2024,399.08,0,0,397.65
06-04-2024,397.65,0,0,399.14
06-05-2024,399.14,0,0,404.66
06-06-2024,404.66,0,0,403.82
06-07-2024,403.82,0,0,403.78
06-10-2024,403.78,0,0,406.77
06-11-2024,406.77,0,0,411.22
06-12-2024,411.22,0,0,413.37
06-13-2024,413.37,0,0,412.38
06-14-2024,412.38,0,0,415.03
06-17-2024,415.03,0,0,420.6
06-18-2024,420.6,0,0,420.8
06-20-2024,420.8,0,0,415.88
06-21-2024,415.88,0,0,414.88
06-24-2024,414.88,0,0,410.68
06-25-2024,410.68,0,0,413.98
06-26-2024,413.98,0,0,415.79
06-27-2024,415.79,0,0,417.27
06-28-2024,417.27,0,0,413.98
07-01-2024,413.98,0,0,415.85
07-02-2024,415.85,0,0,422.39
07-03-2024,422.39,0,0,427.19
07-05-2024,427.19,0,0,431.44
07-08-2024,431.44,0,0,432.25
07-09-2024,432.25,0,0,431.15
07-10-2024,431.15,0,0,434.39
07-11-2024,434.39,0,0,423.3
07-12-2024,423.3,0,0,425.6
07-15-2024,425.6,0,0,425.14
07-16-2024,425.14,0,0,423.87
07-17-2024,423.87,0,0,417.39
07-18-2024,417.39,0,0,411.38
07-19-2024,411.38,0,0,407.49
07-22-2024,407.49,0,0,408.64
07-23-2024,408.64,0,0,407.85
07-24-2024,407.85,0,0,397.46
07-25-2024,397.46,0,0,392.03
07-26-2024,392.03,0,0,392.35
07-29-2024,392.35,0,0,390.55
07-30-2024,390.55,0,0,382.27
07-31-2024,382.27,0,0,385.46
08-01-2024,385.46,0,0,373.41
08-02-2024,373.41,0,0,371.28
08-05-2024,371.28,0,0,381.89
08-06-2024,381.89,0,0,384.18
08-07-2024,384.18,0,0,372.51
08-08-2024,372.51,0,0,379.49
08-09-2024,379.49,0,0,383.14
08-12-2024,383.14,0,0,383.13
08-13-2024,383.13,0,0,389.86
08-14-2024,389.86,0,0,389.08
08-15-2024,389.08,0,0,394.71
08-16-2024,394.71,0,0,397.11
08-19-2024,397.11,0,0,403.18
08-20-2024,403.18,0,0,403.09
08-21-2024,403.09,0,0,404.53
08-22-2024,404.53,0,0,394.58
08-23-2024,394.58,0,0,395.34
08-26-2024,395.34,0,0,391.25
08-27-2024,391.25,0,0,394.31
08-28-2024,394.31,0,0,389.39
08-29-2024,389.39,0,0,386.78
08-30-2024,386.78,0,0,388.0
09-03-2024,388.0,0,0,376.66
09-04-2024,376.66,0,0,378.59
09-05-2024,378.59,0,0,380.65
09-06-2024,380.65,0,0,369.06
09-09-2024,369.06,0,0,370.45
09-10-2024,370.45,0,0,372.86
09-11-2024,372.86,0,0,381.53
09-12-2024,381.53,0,0,386.08
09-13-2024,386.08,0,0,388.93
09-16-2024,388.93,0,0,388.98
09-17-2024,388.98,0,0,386.19
09-18-2024,386.19,0,0,382.94
09-19-2024,382.94,0,0,383.69
09-20-2024,383.69,0,0,383.64
09-23-2024,383.64,0,0,383.73
09-24-2024,383.73,0,0,384.64
09-25-2024,384.64,0,0,385.72
09-26-2024,385.72,0,0,381.83
09-27-2024,381.83,0,0,378.09
09-30-2024,378.09,0,0,380.37
10-01-2024,380.37,0,0,373.96
10-02-2024,373.96,0,0,375.55
10-03-2024,375.55,0,0,377.39
10-04-2024,377.39,0,0,377.26
10-07-2024,377.26,0,0,373.98
10-08-2024,373.98,0,0,378.61
10-09-2024,378.61,0,0,382.75
10-10-2024,382.75,0,0,384.48
10-11-2024,384.48,0,0,387.09
10-14-2024,387.09,0,0,388.81
10-15-2024,388.81,0,0,381.85
10-16-2024,381.85,0,0,381.58
10-17-2024,381.58,0,0,376.41
10-18-2024,376.41,0,0,376.82
10-21-2024,376.82,0,0,378.98
10-22-2024,378.98,0,0,382.2
10-23-2024,382.2,0,0,376.99
10-24-2024,376.99,0,0,377.2
10-25-2024,377.2,0,0,377.38
10-28-2024,377.38,0,0,374.33
10-29-2024,374.33,0,0,378.76
10-30-2024,378.76,0,0,375.76
10-31-2024,375.76,0,0,367.26
11-01-2024,367.26,0,0,369.18
11-04-2024,369.18,0,0,368.37
11-05-2024,368.37,0,0,372.96
11-06-2024,372.96,0,0,377.96
11-07-2024,377.96,0,0,383.08
11-08-2024,383.08,0,0,384.18
11-11-2024,384.18,0,0,382.65
11-12-2024,382.65,0,0,381.79
11-13-2024,381.79,0,0,381.64
11-14-2024,381.64,0,0,378.43
11-15-2024,378.43,0,0,372.08
11-18-2024,372.08,0,0,373.96
11-19-2024,373.96,0,0,379.98
11-20-2024,379.98,0,0,379.99
11-21-2024,379.99,0,0,378.73
11-22-2024,378.73,0,0,380.1
11-25-2024,380.1,0,0,376.8
11-26-2024,376.8,0,0,378.03
11-27-2024,378.03,0,0,375.17
11-29-2024,375.17,0,0,378.97
12-02-2024,378.97,0,0,383.24
12-03-2024,383.24,0,0,386.15
12-04-2024,386.15,0,0,389.08
12-05-2024,389.08,0,0,387.58
12-06-2024,387.58,0,0,391.57
12-09-2024,391.57,0,0,388.41
12-10-2024,388.41,0,0,385.4
12-11-2024,385.4,0,0,390.3
12-12-2024,390.3,0,0,389.12
12-13-2024,389.12,0,0,389.19
12-16-2024,389.19,0,0,394.26
12-17-2024,394.26,0,0,393.7
12-18-2024,393.7,0,0,375.08
12-19-2024,375.08,0,0,368.08
12-20-2024,368.08,0,0,376.27
12-23-2024,376.27,0,0,379.59
12-24-2024,379.59,0,0,384.71
12-26-2024,384.71,0,0,385.99
12-27-2024,385.99,0,0,382.55
12-30-2024,382.55,0,0,382.65
12-31-2024,382.65,0,0,376.99
01-02-2025,376.99,0,0,372.93
01-03-2025,372.93,0,0,378.15
01-06-2025,378.15,0,0,378.67
01-07-2025,378.67,0,0,368.28
01-08-2025,368.28,0,0,368.47
01-10-2025,368.47,0,0,364.19
01-13-2025,364.19,0,0,368.54
01-14-2025,368.54,0,0,364.89
01-15-2025,364.89,0,0,368.55
01-16-2025,368.55,0,0,362.66
01-17-2025,362.66,0,0,361.55
01-21-2025,361.55,0,0,361.87
01-22-2025,361.87,0,0,363.81
01-23-2025,363.81,0,0,367.4
01-24-2025,367.4,0,0,364.02
01-27-2025,364.02,0,0,367.23
01-28-2025,367.23,0,0,373.81
01-29-2025,373.81,0,0,372.18
01-30-2025,372.18,0,0,371.52
01-31-2025,371.52,0,0,366.9
02-03-2025,366.9,0,0,371.53
02-04-2025,371.53,0,0,377.36
02-05-2025,377.36,0,0,382.38
02-06-2025,382.38,0,0,384.62
02-07-2025,384.62,0,0,377.41
02-10-2025,377.41,0,0,379.44
02-11-2025,379.44,0,0,381.47
02-12-2025,381.47,0,0,387.46
02-13-2025,387.46,0,0,393.37
02-14-2025,393.37,0,0,395.51
02-18-2025,395.51,0,0,395.15
02-19-2025,395.15,0,0,396.1
02-20-2025,396.1,0,0,394.6
02-21-2025,394.6,0,0,382.32
02-24-2025,382.32,0,0,374.32
02-25-2025,374.32,0,0,368.41
02-26-2025,368.41,0,0,367.44
02-27-2025,367.44,0,0,349.61
02-28-2025,349.61,0,0,357.64
03-03-2025,357.64,0,0,343.19
03-04-2025,343.19,0,0,344.56
03-05-2025,344.56,0,0,350.36
03-06-2025,350.36,0,0,344.88
03-07-2025,344.88,0,0,349.5
03-10-2025,349.5,0,0,338.8
03-11-2025,338.8,0,0,338.05
03-12-2025,338.05,0,0,335.81
03-13-2025,335.81,0,0,327.91
03-14-2025,327.91,0,0,333.83
03-17-2025,333.83,0,0,336.99
03-18-2025,336.99,0,0,332.13
03-19-2025,332.13,0,0,336.2
03-20-2025,336.2,0,0,338.58
03-21-2025,338.58,0,0,345.33
03-24-2025,345.33,0,0,348.25
03-25-2025,348.25,0,0,350.32
03-26-2025,350.32,0,0,342.4
03-27-2025,342.4,0,0,341.61
03-28-2025,341.61,0,0,330.74
03-31-2025,330.74,0,0,337.74
04-01-2025,337.74,0,0,343.14
04-02-2025,343.14,0,0,353.17
04-03-2025,353.17,0,0,347.39
04-04-2025,347.39,0,0,331.92
04-07-2025,331.92,0,0,346.95
04-08-2025,346.95,0,0,324.85
04-09-2025,324.85,0,0,375.28
04-10-2025,375.28,0,0,367.9
04-11-2025,367.9,0,0,377.65
04-14-2025,377.65,0,0,370.67
04-15-2025,370.67,0,0,370.12
04-16-2025,370.12,0,0,365.27
04-17-2025,365.27,0,0,362.2
04-21-2025,362.2,0,0,357.08
04-22-2025,357.08,0,0,362.74
04-23-2025,362.74,0,0,359.13
04-24-2025,359.13,0,0,370.0
04-25-2025,370.0,0,0,375.59
04-28-2025,375.59,0,0,374.97
04-29-2025,374.97,0,0,380.33
04-30-2025,380.33,0,0,388.67
05-01-2025,388.67,0,0,386.94
05-02-2025,386.94,0,0,389.23
05-05-2025,389.23,0,0,390.56
05-06-2025,390.56,0,0,392.41
05-07-2025,392.41,0,0,393.63
05-08-2025,393.63,0,0,393.39
05-09-2025,393.39,0,0,391.08
